Label,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,OBox.Elongation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,GeodesicElongation,AverageThickness
482,3784,299.672,0.530,1,380,457,1840,1920,418.876,1883.039,418.876,1883.039,38.933,32.738,-41.051,1.189,4204,0.900,83.815,107.354,419.148,1887.123,78.615,65.171,129.806,1.206,80.014,0.955,423,1880,28,1.429,25.111
483,473,83.968,0.843,1,452,483,1840,1865,467.428,1852.610,467.428,1852.610,14.969,10.321,23.839,1.450,500,0.946,32.280,16.189,466.589,1851.891,30.044,21.460,39.289,1.400,33.014,1.023,465,1851,10,1.651,12.312
484,224,55.257,0.922,1,497,515,1841,1858,506.268,1849.442,506.268,1849.442,9.164,7.970,12.278,1.150,236,0.949,19.698,156.038,506.500,1849.000,18.025,16.128,18.435,1.118,19.814,1.006,505,1849,8,1.238,10.200
485,362,68.990,0.956,1,513,533,1845,1869,523.530,1857.105,523.530,1857.105,12.143,9.560,-73.089,1.270,374,0.968,24.739,104.036,523.324,1857.054,24.660,19.728,99.462,1.250,25.414,1.027,524,1854,9,1.412,16.667
486,1315,134.418,0.915,1,1696,1738,1852,1897,1717.533,1872.937,1717.533,1872.937,24.397,17.354,50.462,1.406,1343,0.979,50.606,52.224,1717.750,1871.750,50.205,35.355,45.000,1.420,50.214,0.992,1716,1870,17,1.477,27.928
487,714,101.914,0.864,1,483,509,1854,1891,496.559,1873.001,496.559,1873.001,18.686,12.446,-75.784,1.501,741,0.964,37.696,111.801,495.450,1872.495,37.513,25.672,95.711,1.461,37.414,0.993,495,1871,12,1.559,15.276
488,986,123.787,0.809,1,1663,1691,1854,1903,1678.003,1878.428,1678.003,1878.428,25.324,12.530,72.006,2.021,1029,0.958,51.478,65.925,1677.869,1878.954,50.482,26.792,82.875,1.884,52.214,1.014,1677,1875,13,2.008,17.863
489,9902,427.537,0.681,1,2504,2617,1859,2011,2568.245,1924.531,2568.245,1924.531,72.782,47.345,68.541,1.537,10717,0.924,155.541,77.751,2577.362,1925.959,150.357,95.091,61.699,1.581,158.814,1.021,2571,1914,43,1.847,47.050
490,495,89.982,0.768,1,1204,1228,1869,1903,1216.409,1885.589,1216.409,1885.589,18.882,8.429,58.759,2.240,518,0.956,38.013,54.638,1216.800,1886.100,37.566,18.336,63.435,2.049,38.014,1.000,1216,1885,9,2.112,12.972
491,1590,172.475,0.672,1,2746,2792,1869,1933,2770.080,1903.284,2770.080,1903.284,31.002,18.693,66.705,1.659,1712,0.929,69.080,67.891,2765.781,1905.582,69.054,40.847,69.444,1.691,69.414,1.005,2766,1903,16,2.169,21.041
492,8146,490.783,0.425,1,633,756,1880,2004,696.998,1945.344,696.998,1945.344,67.017,50.682,-38.160,1.322,11130,0.732,150.243,128.243,698.507,1959.368,145.347,109.235,143.865,1.331,149.814,0.997,705,1939,31,2.416,31.297
493,192,50.354,0.952,1,539,553,1890,1909,546.479,1899.729,546.479,1899.729,9.219,6.700,-77.847,1.376,197,0.975,19.647,104.744,546.000,1899.500,19.000,14.000,90.000,1.357,20.214,1.029,546,1899,7,1.444,10.167
494,7379,475.345,0.410,2,1702,1805,1890,2054,1762.119,1984.164,1762.119,1984.164,92.084,35.877,-74.736,2.567,10759,0.686,164.514,94.532,1753.042,1971.006,164.462,97.420,93.082,1.688,167.614,1.019,1748,2013,29,2.890,29.554
495,113,39.398,0.915,1,461,470,1895,1910,465.819,1902.279,465.819,1902.279,7.756,4.728,-87.311,1.640,116,0.974,15.524,75.069,465.500,1902.500,15.000,9.000,90.000,1.667,16.014,1.032,465,1901,5,1.601,6.926
496,152,46.332,0.890,1,508,520,1896,1914,513.500,1905.217,513.500,1905.217,8.758,5.656,-86.280,1.549,160,0.950,18.248,99.462,514.000,1905.000,18.000,12.000,90.000,1.500,18.614,1.020,513,1906,6,1.551,9.400
497,713,106.071,0.796,1,653,682,1896,1933,667.904,1912.996,667.904,1912.996,17.781,13.049,-73.392,1.363,758,0.941,37.216,96.170,668.191,1913.084,35.309,27.936,124.992,1.264,38.014,1.021,669,1908,12,1.584,14.926
498,21335,610.166,0.720,1,2584,2766,1896,2082,2685.004,2000.552,2685.004,2000.552,93.258,78.355,-45.686,1.190,22964,0.929,210.021,134.421,2698.689,2002.102,208.877,155.874,128.437,1.340,208.214,0.991,2697,1990,68,1.531,70.570
499,6267,336.770,0.694,1,2245,2331,1901,2025,2290.547,1969.011,2290.547,1969.011,61.753,36.449,-68.704,1.694,6611,0.948,132.966,111.161,2298.460,1973.780,132.946,77.037,112.166,1.726,132.814,0.999,2295,1974,33,2.012,41.676
500,4463,268.319,0.779,1,286,372,1906,1990,330.318,1945.820,330.318,1945.820,44.556,32.662,-50.477,1.364,4761,0.937,90.824,159.370,331.247,1943.301,88.638,64.861,120.069,1.367,89.614,0.987,330,1944,30,1.494,34.602
501,543,98.352,0.705,1,1219,1245,1907,1944,1233.684,1925.277,1233.684,1925.277,20.946,8.555,63.050,2.448,599,0.907,42.190,58.570,1233.883,1925.548,41.818,18.805,67.751,2.224,42.014,0.996,1236,1930,9,2.334,12.357
502,2582,234.110,0.592,1,234,301,1911,1992,264.611,1949.835,264.611,1949.835,43.913,20.994,-58.604,2.092,3126,0.826,87.321,113.629,266.231,1948.154,85.979,44.931,123.690,1.914,87.614,1.003,266,1941,17,2.577,22.832
503,1752,190.825,0.605,1,484,549,1917,1979,517.242,1945.935,517.242,1945.935,40.586,15.273,43.760,2.657,2046,0.856,74.330,33.476,516.232,1944.911,73.683,32.262,45.881,2.284,74.214,0.998,529,1959,14,2.651,18.325
504,89,34.495,0.940,1,539,552,1919,1928,545.331,1923.500,545.331,1923.500,6.915,4.141,-21.536,1.670,90,0.989,14.318,155.225,545.200,1923.400,14.311,8.944,153.435,1.600,14.414,1.007,545,1922,4,1.802,6.667
505,4354,292.604,0.639,1,2141,2219,1919,2022,2181.686,1973.342,2181.686,1973.342,55.524,25.849,60.774,2.148,4862,0.896,113.018,59.123,2180.161,1973.659,112.107,55.941,51.843,2.004,112.414,0.995,2183,1975,25,2.248,30.153
506,851,114.671,0.813,1,1954,1993,1933,1969,1973.365,1950.889,1973.365,1950.889,22.282,12.530,-35.873,1.778,898,0.948,43.600,126.607,1972.308,1951.962,42.712,25.794,146.310,1.656,43.214,0.991,1979,1946,12,1.801,20.368
507,1471,163.089,0.695,1,2499,2549,1936,1978,2521.253,1958.586,2521.253,1958.586,26.900,19.530,28.842,1.377,1663,0.885,58.822,35.311,2524.000,1957.000,50.000,42.000,0.000,1.190,58.814,1.000,2517,1954,17,1.730,19.837
508,434,74.908,0.972,1,1667,1692,1940,1963,1679.889,1951.691,1679.889,1951.691,12.241,11.331,-2.300,1.080,447,0.971,25.495,168.690,1679.500,1951.500,25.000,23.000,0.000,1.087,26.214,1.028,1678,1951,11,1.192,20.333
509,22023,583.312,0.813,1,393,567,1941,2135,479.068,2040.825,479.068,2040.825,90.250,81.418,-68.562,1.108,22939,0.960,194.093,88.229,488.633,2049.284,187.640,161.105,108.273,1.165,195.414,1.007,483,2040,72,1.357,77.714
510,1722,184.827,0.633,1,2745,2785,1941,2007,2766.873,1968.323,2766.873,1968.323,33.487,17.888,84.386,1.872,1840,0.936,69.462,67.126,2769.981,1970.904,68.445,38.047,78.690,1.799,66.214,0.953,2753,1970,28,1.182,18.444
511,92,34.495,0.972,1,561,570,1943,1956,565.467,1949.457,565.467,1949.457,6.372,4.654,-88.404,1.369,93,0.989,13.342,77.005,565.500,1949.500,13.000,9.000,90.000,1.444,13.814,1.035,565,1948,5,1.381,6.889
512,3377,227.636,0.819,1,1982,2045,1945,2021,2012.755,1985.682,2012.755,1985.682,38.938,28.630,-68.715,1.360,3627,0.931,78.435,109.359,2012.243,1983.041,77.596,61.321,99.462,1.265,79.414,1.012,2007,1987,25,1.588,34.785
513,10630,440.620,0.688,1,2304,2414,1946,2112,2363.382,2035.612,2363.382,2035.612,93.715,37.122,-66.138,2.524,11410,0.932,186.593,118.488,2366.465,2033.562,184.772,79.665,109.926,2.319,184.214,0.987,2355,2064,35,2.632,57.170
514,27064,835.788,0.487,1,1385,1621,1954,2144,1499.791,2047.586,1499.791,2047.586,110.664,82.409,-9.683,1.343,31081,0.871,236.415,3.395,1496.717,2041.331,230.466,182.356,168.043,1.264,237.414,1.004,1530,2044,64,1.855,62.231
515,969,110.744,0.993,1,2786,2820,1959,1996,2803.632,1977.337,2803.632,1977.337,18.468,16.733,-83.655,1.104,992,0.977,38.079,113.199,2803.000,1977.500,37.000,34.000,90.000,1.088,38.614,1.014,2803,1975,16,1.207,33.000
516,487,85.730,0.833,1,544,575,1964,1987,558.408,1976.364,558.408,1976.364,16.977,9.337,23.197,1.818,507,0.961,33.615,30.379,558.400,1976.700,33.541,18.783,26.565,1.786,33.414,0.994,552,1974,9,1.856,15.510
517,6942,327.749,0.812,1,803,919,1964,2051,863.594,2009.023,863.594,2009.023,55.402,41.731,8.425,1.328,7453,0.931,116.430,175.073,863.346,2005.608,115.233,83.948,6.116,1.373,118.214,1.015,860,2003,39,1.516,48.490
518,2421,202.852,0.739,1,2112,2159,1967,2048,2134.602,2008.285,2134.602,2008.285,38.740,20.485,79.614,1.891,2580,0.938,81.099,92.827,2134.666,2008.755,77.806,41.051,73.856,1.895,82.014,1.011,2130,1999,19,2.158,23.875
519,710,114.211,0.684,1,604,632,1971,2010,616.868,1990.739,616.868,1990.739,19.138,12.930,85.175,1.480,831,0.854,40.522,74.249,617.039,1990.948,38.233,27.748,100.008,1.378,41.414,1.022,615,1988,11,1.882,13.587
520,2042,174.410,0.844,1,1915,1975,1976,2032,1943.883,2002.642,1943.883,2002.642,35.450,18.495,-40.464,1.917,2080,0.982,70.292,140.194,1943.390,2001.988,70.278,36.701,141.340,1.915,69.814,0.993,1950,1996,18,1.939,30.833
521,239,61.961,0.782,2,579,596,1978,1999,587.178,1988.496,587.178,1988.496,11.566,6.672,54.433,1.734,253,0.945,24.839,49.899,587.640,1989.020,24.800,14.600,53.130,1.699,24.814,0.999,586,1987,7,1.772,8.074
522,1283,144.453,0.773,1,2410,2449,1994,2042,2431.559,2020.781,2431.559,2020.781,24.906,17.657,-73.048,1.411,1392,0.922,52.326,116.075,2433.560,2020.526,52.260,34.796,113.199,1.502,51.814,0.990,2433,2022,16,1.619,22.692
523,384,74.353,0.873,1,1964,1985,1998,2025,1974.732,2013.438,1974.732,2013.438,13.316,9.538,-77.142,1.396,399,0.962,28.792,110.323,1976.000,2013.000,28.622,20.572,116.565,1.391,29.214,1.015,1974,2015,10,1.461,11.083
524,811,115.782,0.760,1,596,634,2012,2049,613.133,2031.309,613.133,2031.309,22.376,11.999,46.796,1.865,855,0.949,46.400,37.117,612.500,2032.000,45.962,24.749,45.000,1.857,45.814,0.987,612,2031,12,1.909,15.549
525,4292,277.856,0.699,1,2253,2329,2013,2114,2286.266,2061.735,2286.266,2061.735,55.244,26.591,-58.763,2.078,4545,0.944,112.770,118.610,2282.994,2055.526,112.767,56.403,118.202,1.999,111.214,0.986,2285,2055,25,2.224,36.202
526,1796,183.986,0.667,1,2535,2582,2021,2083,2559.002,2052.343,2559.002,2052.343,31.749,19.758,-57.460,1.607,2057,0.873,65.552,111.477,2556.000,2050.000,62.225,45.255,135.000,1.375,66.214,1.010,2556,2057,16,2.069,21.392
527,1215,134.187,0.848,1,1660,1709,2023,2060,1681.736,2038.771,1681.736,2038.771,24.254,16.828,-19.896,1.441,1253,0.970,52.924,157.797,1682.000,2035.000,49.497,36.770,135.000,1.346,53.214,1.005,1676,2039,16,1.663,17.364
528,2898,250.446,0.581,1,2839,2880,2023,2133,2857.055,2085.280,2857.055,2085.280,54.121,18.123,86.608,2.986,3054,0.949,110.114,87.397,2853.199,2078.531,108.307,40.325,77.005,2.686,111.214,1.010,2857,2096,19,2.927,24.853
529,3830,254.603,0.742,1,1935,1997,2030,2119,1968.152,2073.525,1968.152,2073.525,45.629,28.898,-83.812,1.579,4222,0.907,90.094,81.060,1965.504,2072.755,88.982,59.190,95.389,1.503,90.814,1.008,1971,2076,31,1.465,33.754
530,4258,254.833,0.824,1,1868,1937,2032,2114,1902.555,2072.842,1902.555,2072.842,43.484,31.817,-59.970,1.367,4503,0.946,92.655,124.891,1902.050,2073.650,86.408,65.337,98.130,1.323,92.614,1.000,1901,2072,32,1.447,31.036
531,2113,220.242,0.547,1,2024,2080,2039,2119,2045.058,2073.229,2045.058,2073.229,35.754,23.091,-80.700,1.548,2635,0.802,80.306,95.001,2039.320,2076.760,69.823,54.644,124.695,1.278,81.614,1.016,2042,2063,18,2.267,18.644
532,802,125.722,0.638,1,2071,2117,2039,2076,2095.470,2058.695,2095.470,2058.695,25.889,10.553,37.926,2.453,887,0.904,53.824,35.166,2092.300,2057.900,53.218,24.597,26.565,2.164,53.814,1.000,2097,2060,12,2.242,14.232
533,30662,749.503,0.686,1,1179,1416,2040,2233,1293.402,2127.064,1293.402,2127.064,110.876,90.841,-0.388,1.221,33777,0.908,240.693,10.049,1291.143,2126.079,220.968,182.628,162.681,1.210,245.614,1.020,1286,2127,81,1.516,85.914
534,759,110.419,0.782,1,2419,2451,2040,2078,2434.478,2058.122,2434.478,2058.122,19.190,13.248,52.522,1.449,813,0.934,40.162,71.114,2435.051,2055.927,39.665,28.093,61.390,1.412,40.214,1.001,2437,2059,13,1.547,15.844
535,980,122.025,0.827,1,2450,2482,2041,2088,2465.485,2065.903,2465.485,2065.903,24.016,13.269,68.835,1.810,1032,0.950,49.041,73.413,2464.546,2065.831,47.877,27.660,60.255,1.731,50.014,1.020,2464,2065,13,1.924,21.000
536,763,109.078,0.806,1,2472,2512,2042,2073,2493.306,2057.394,2493.306,2057.394,20.099,12.478,33.607,1.611,808,0.944,43.863,24.228,2493.335,2056.573,40.082,26.838,52.125,1.493,43.814,0.999,2493,2056,12,1.826,16.333
537,785,103.715,0.917,1,2397,2426,2049,2087,2411.547,2068.466,2411.547,2068.466,18.576,13.541,79.256,1.372,806,0.974,39.294,75.256,2411.200,2068.400,38.460,27.727,63.435,1.387,40.214,1.023,2411,2065,14,1.436,20.714
538,34550,863.001,0.583,1,221,466,2050,2247,339.729,2151.916,339.729,2151.916,138.963,83.806,26.760,1.658,38619,0.895,282.606,37.235,340.731,2152.497,278.675,191.738,27.181,1.453,282.614,1.000,379,2170,69,2.048,74.101
539,1789,162.439,0.852,1,1736,1780,2051,2112,1756.046,2079.744,1756.046,2079.744,29.324,20.405,71.937,1.437,1842,0.971,61.660,81.607,1758.150,2077.950,60.716,41.426,71.565,1.466,62.614,1.015,1757,2079,19,1.648,26.651
540,2407,191.705,0.823,1,1813,1872,2052,2117,1846.712,2084.123,1846.712,2084.123,33.077,24.563,-45.316,1.347,2529,0.952,69.893,146.083,1850.504,2084.434,69.613,49.294,138.814,1.412,69.814,0.999,1859,2076,22,1.587,29.677
541,6655,316.182,0.837,1,795,893,2053,2154,841.567,2103.949,841.567,2103.949,52.679,42.366,-58.055,1.243,7081,0.940,105.109,111.194,844.311,2107.014,104.952,88.811,108.060,1.182,104.014,0.990,850,2100,36,1.445,53.272
542,6789,319.475,0.836,1,623,700,2054,2178,662.322,2112.046,662.322,2112.046,60.627,36.266,-86.402,1.672,6968,0.974,126.495,101.399,658.367,2114.402,126.453,75.675,99.926,1.671,129.214,1.021,662,2098,36,1.795,52.292
543,1182,134.743,0.818,1,916,955,2054,2101,937.613,2078.547,937.613,2078.547,24.589,16.389,-59.448,1.500,1241,0.952,50.249,121.159,934.974,2075.015,49.264,36.223,104.621,1.360,50.214,0.999,936,2080,15,1.674,22.238
544,1620,176.822,0.651,1,1987,2018,2058,2134,2001.205,2095.482,2001.205,2095.482,36.897,14.848,-89.692,2.485,1747,0.927,76.059,92.261,2002.591,2095.775,75.943,30.794,88.409,2.466,76.814,1.010,1987,2088,28,1.372,19.875
545,1325,150.372,0.736,1,1603,1653,2064,2107,1631.161,2085.877,1631.161,2085.877,25.388,18.084,-17.460,1.404,1481,0.895,53.852,148.671,1629.496,2088.953,53.547,37.126,157.249,1.442,53.614,0.996,1633,2086,16,1.675,21.240
546,601,91.648,0.899,1,598,627,2065,2092,612.488,2078.670,612.488,2078.670,14.893,13.077,17.985,1.139,630,0.954,31.241,39.806,612.351,2079.392,29.427,26.633,9.462,1.105,31.214,0.999,610,2078,12,1.301,18.600
547,3152,261.021,0.581,1,1649,1724,2065,2154,1690.347,2110.943,1690.347,2110.943,54.128,21.339,-55.525,2.537,3855,0.818,94.868,124.695,1690.503,2110.801,94.853,45.675,125.727,2.077,94.814,0.999,1705,2088,19,2.495,26.040
548,3992,268.740,0.695,1,2548,2614,2067,2171,2587.415,2116.804,2587.415,2116.804,49.412,28.443,80.622,1.737,4308,0.927,104.580,83.962,2584.938,2122.758,103.449,64.656,75.530,1.600,106.414,1.018,2585,2111,26,2.046,34.003
549,1038,130.721,0.763,1,2435,2467,2075,2125,2449.250,2101.322,2449.250,2101.322,26.233,13.132,71.326,1.998,1109,0.936,50.804,79.796,2447.916,2099.894,50.151,27.767,70.017,1.806,52.014,1.024,2450,2104,13,2.001,18.197
550,16399,510.950,0.789,1,681,813,2083,2275,743.126,2173.832,743.126,2173.832,96.457,55.184,-80.064,1.748,17404,0.942,193.961,101.600,739.665,2173.971,191.044,118.188,114.727,1.616,198.014,1.021,749,2142,54,1.833,73.673
551,895,111.299,0.908,1,2389,2428,2083,2115,2408.045,2098.565,2408.045,2098.565,19.514,15.003,19.076,1.301,923,0.970,40.025,12.995,2407.168,2100.297,39.986,31.100,15.524,1.286,38.014,0.950,2409,2101,15,1.267,22.922
552,4140,261.346,0.762,1,912,997,2085,2160,953.606,2122.953,953.606,2122.953,43.432,31.414,3.711,1.383,4581,0.904,90.824,20.630,954.138,2120.959,82.469,67.814,163.301,1.216,91.014,1.002,956,2126,32,1.422,32.549
553,3052,217.236,0.813,1,2624,2685,2090,2167,2648.696,2125.542,2648.696,2125.542,39.612,26.333,-70.565,1.504,3292,0.927,77.318,95.194,2644.458,2126.545,75.165,57.749,123.366,1.302,78.614,1.017,2649,2117,24,1.638,34.641
554,2347,230.318,0.556,1,467,529,2103,2189,495.942,2143.365,495.942,2143.365,47.054,18.440,-54.509,2.552,2746,0.855,98.489,119.168,495.454,2139.156,97.861,42.475,125.640,2.304,97.614,0.991,487,2147,16,3.050,20.907
555,8932,469.577,0.509,1,2793,2912,2104,2213,2855.309,2166.731,2855.309,2166.731,68.247,49.388,8.973,1.382,11401,0.783,141.598,42.138,2853.195,2160.324,120.613,106.448,176.269,1.133,145.014,1.024,2830,2163,36,2.014,33.436
556,267,59.835,0.937,1,2137,2158,2106,2123,2147.272,2114.721,2147.272,2114.721,11.111,7.717,25.297,1.440,275,0.971,23.259,25.463,2147.324,2115.054,22.358,16.440,9.462,1.360,23.214,0.998,2146,2114,8,1.451,13.000
557,22593,608.921,0.766,1,2270,2475,2110,2299,2364.864,2198.248,2364.864,2198.248,112.264,68.453,-37.864,1.640,23897,0.945,226.153,139.124,2364.489,2187.775,226.026,143.580,141.044,1.574,224.414,0.992,2344,2208,63,1.781,81.215
558,20960,568.047,0.816,1,1493,1662,2111,2302,1589.734,2201.459,1589.734,2201.459,89.964,78.424,68.378,1.147,21851,0.959,199.582,70.385,1600.221,2197.132,174.757,158.465,30.964,1.103,201.614,1.010,1588,2193,67,1.505,84.946
559,550,88.641,0.880,1,2060,2085,2113,2145,2071.760,2128.653,2071.760,2128.653,16.789,10.586,-59.157,1.586,572,0.962,34.540,112.109,2071.750,2128.250,33.234,22.627,135.000,1.469,34.814,1.008,2073,2125,10,1.741,16.708
560,291,63.857,0.897,1,2203,2224,2115,2135,2213.026,2125.167,2213.026,2125.167,11.694,8.073,-34.938,1.449,300,0.970,24.413,145.008,2212.308,2124.962,24.407,16.918,146.310,1.443,24.014,0.984,2214,2123,8,1.501,12.600
561,475,85.634,0.814,1,2763,2793,2115,2140,2776.464,2128.216,2776.464,2128.216,15.630,10.047,25.287,1.556,514,0.924,31.765,28.179,2776.176,2128.946,31.764,20.743,27.897,1.531,31.214,0.983,2772,2126,9,1.734,14.206
562,649,103.945,0.755,1,1696,1728,2127,2163,1710.042,2142.914,1710.042,2142.914,21.944,9.892,-49.986,2.218,676,0.960,44.688,130.462,1708.837,2142.599,44.648,20.152,132.879,2.216,44.614,0.998,1713,2136,9,2.479,13.839
563,428,78.050,0.883,1,598,623,2131,2158,610.280,2144.213,610.280,2144.213,13.774,10.139,-59.419,1.359,446,0.960,27.514,109.093,609.889,2144.621,27.215,19.872,118.610,1.369,28.014,1.018,611,2140,9,1.556,12.667
564,1359,135.393,0.932,1,2509,2544,2140,2189,2525.723,2165.240,2525.723,2165.240,24.752,17.655,-88.860,1.402,1392,0.976,49.649,99.273,2526.500,2164.500,49.000,35.000,90.000,1.400,50.414,1.015,2526,2165,18,1.400,29.356
565,1056,123.596,0.869,1,538,576,2142,2182,557.637,2159.394,557.637,2159.394,19.863,17.405,-51.001,1.141,1104,0.957,43.417,118.926,557.500,2157.000,41.719,36.062,135.000,1.157,43.014,0.991,556,2158,16,1.344,26.600
566,9985,401.872,0.777,1,1008,1138,2143,2264,1070.780,2205.285,1070.780,2205.285,71.588,46.938,-45.364,1.525,10581,0.944,151.489,141.163,1082.890,2206.106,150.631,101.723,147.265,1.481,151.414,1.000,1064,2215,46,1.646,53.294
567,491,81.612,0.926,1,2485,2507,2143,2174,2496.789,2157.586,2496.789,2157.586,15.601,10.113,69.750,1.543,500,0.982,32.573,72.121,2497.121,2158.052,32.497,21.355,68.199,1.522,33.214,1.020,2495,2153,10,1.661,15.952
568,23970,633.531,0.750,1,736,909,2145,2367,834.819,2255.540,834.819,2255.540,115.656,68.714,-67.146,1.683,26189,0.915,226.736,108.515,840.434,2248.090,225.254,143.512,115.067,1.570,222.814,0.983,846,2245,60,1.857,81.864
569,720,125.262,0.577,1,940,982,2146,2184,957.322,2163.075,957.322,2163.075,27.289,9.525,-36.617,2.865,802,0.898,54.672,140.194,957.672,2160.380,54.665,21.842,141.072,2.503,54.214,0.992,955,2154,14,1.936,11.558
570,1918,169.698,0.837,1,2710,2764,2148,2204,2739.638,2172.814,2739.638,2172.814,33.098,18.989,42.918,1.743,1979,0.969,66.843,51.072,2741.058,2171.065,66.214,38.730,39.987,1.710,66.414,0.994,2742,2173,18,1.845,27.000
571,599,93.124,0.868,1,578,607,2150,2181,593.730,2166.904,593.730,2166.904,16.191,12.020,-51.626,1.347,625,0.958,33.015,125.134,594.654,2166.269,33.005,24.684,123.690,1.337,33.414,1.012,593,2168,12,1.392,15.606
572,1531,176.783,0.616,1,200,226,2152,2228,211.268,2191.508,211.268,2191.508,39.792,12.691,86.160,3.135,1595,0.960,76.531,83.246,212.066,2189.691,76.382,25.794,86.820,2.961,78.014,1.019,212,2193,12,3.251,18.672
573,1671,151.713,0.912,1,1656,1701,2152,2203,1677.882,2176.250,1677.882,2176.250,24.603,21.878,76.715,1.125,1718,0.973,51.788,79.992,1678.700,2175.900,50.535,44.274,63.435,1.141,52.814,1.020,1678,2175,21,1.257,23.058
574,33214,700.720,0.850,1,1832,2039,2158,2375,1937.634,2268.720,1937.634,2268.720,106.703,101.522,-83.403,1.051,34946,0.950,224.290,113.937,1936.061,2264.473,215.319,206.356,71.162,1.043,225.014,1.003,1946,2265,89,1.264,94.258
575,28223,668.249,0.794,1,1317,1490,2169,2379,1402.492,2280.337,1402.492,2280.337,114.264,81.679,-75.147,1.399,30273,0.932,245.410,127.384,1395.428,2278.542,226.691,167.175,101.155,1.356,245.414,1.000,1404,2254,76,1.615,93.234
576,5787,298.848,0.814,1,1675,1756,2170,2278,1722.119,2224.402,1722.119,2224.402,51.505,37.525,-78.988,1.373,6125,0.945,109.037,97.907,1715.390,2222.694,108.859,78.203,94.635,1.392,111.214,1.020,1719,2222,35,1.589,45.595
577,1344,144.223,0.812,1,1763,1798,2172,2228,1780.535,2200.573,1780.535,2200.573,28.798,15.212,70.189,1.893,1380,0.974,60.539,67.671,1778.847,2200.685,59.279,32.742,79.380,1.811,60.214,0.995,1778,2198,16,1.882,23.050
578,917,112.085,0.917,1,962,1005,2173,2202,982.816,2187.827,982.816,2187.827,21.478,13.654,19.722,1.573,934,0.982,44.643,15.593,983.500,2187.500,43.000,29.000,0.000,1.483,45.614,1.022,979,2186,14,1.629,21.212
579,1785,163.224,0.842,1,592,648,2177,2221,621.149,2198.518,621.149,2198.518,27.974,20.772,2.968,1.347,1881,0.949,57.009,15.255,621.425,2196.264,57.005,43.406,15.945,1.313,58.214,1.021,625,2199,19,1.532,31.273
580,475,85.079,0.825,1,551,578,2178,2207,564.995,2193.052,564.995,2193.052,17.165,9.111,-42.251,1.884,499,0.952,34.409,125.538,565.321,2193.652,33.706,18.908,139.764,1.783,33.814,0.983,569,2190,9,1.879,13.159
581,1259,144.128,0.762,1,2098,2143,2185,2233,2121.235,2208.543,2121.235,2208.543,29.544,13.939,56.880,2.119,1317,0.956,58.898,49.821,2120.727,2207.822,57.847,27.575,62.526,2.098,58.814,0.999,2117,2200,13,2.262,20.930
582,949,125.952,0.752,1,2448,2494,2196,2234,2470.438,2215.829,2470.438,2215.829,25.610,12.019,36.667,2.131,996,0.953,50.537,27.072,2471.660,2217.120,50.000,25.000,36.870,2.000,50.214,0.994,2467,2214,12,2.092,19.095
583,758,109.078,0.801,1,469,507,2202,2235,487.266,2217.637,487.266,2217.637,19.673,13.082,-36.247,1.504,800,0.948,41.617,144.782,489.000,2215.000,41.012,28.284,135.000,1.450,41.614,1.000,483,2219,13,1.601,16.111
584,21993,660.648,0.633,1,1067,1257,2202,2379,1156.164,2312.365,1156.164,2312.365,91.802,82.264,-7.774,1.116,24149,0.911,214.149,124.729,1153.569,2319.684,198.284,167.012,150.191,1.187,215.214,1.005,1148,2309,70,1.537,64.609
585,16347,654.500,0.480,1,885,1025,2204,2379,959.663,2305.950,959.663,2305.950,93.826,62.599,88.606,1.499,18821,0.869,191.450,115.360,949.181,2295.538,182.564,136.704,83.290,1.335,190.214,0.994,972,2330,45,2.113,48.575
586,3763,227.962,0.910,1,2537,2596,2204,2291,2565.709,2246.742,2565.709,2246.742,42.691,28.164,83.903,1.516,3821,0.985,87.281,85.400,2567.019,2247.596,86.683,57.462,78.690,1.509,88.614,1.015,2564,2240,28,1.582,48.952
587,543,92.203,0.803,1,1112,1144,2207,2233,1126.108,2218.281,1126.108,2218.281,15.126,12.620,-11.501,1.199,586,0.927,33.242,15.709,1127.555,2220.503,32.450,25.794,3.180,1.258,33.814,1.017,1124,2217,10,1.691,13.762
588,15604,472.147,0.880,1,2762,2912,2216,2373,2851.487,2291.380,2851.487,2291.380,73.545,72.202,-81.860,1.019,16165,0.965,159.531,20.934,2857.759,2283.069,150.332,141.878,45.424,1.060,160.614,1.007,2853,2293,59,1.361,81.202
589,944,121.795,0.800,1,2613,2656,2219,2253,2633.352,2237.881,2633.352,2237.881,24.307,12.818,28.059,1.896,998,0.946,48.877,30.763,2632.958,2239.413,48.801,27.137,27.553,1.798,47.814,0.978,2628,2237,12,1.992,20.573
590,6036,324.092,0.722,1,2156,2260,2221,2307,2205.423,2261.134,2205.423,2261.134,49.905,39.276,0.538,1.271,6491,0.930,106.301,11.944,2209.587,2263.820,104.016,84.394,25.710,1.233,108.614,1.022,2200,2259,38,1.429,37.117
